session_id,session_length,num_clicks,category_diversity,total_spent,bounce,click_sequence,exit_page,converted
1,9,8,4,351,0,"[2, 2, 4, 4, 1, 3, 2, 3]",4,1
2,10,9,3,443,0,"[1, 4, 1, 2, 2, 2, 4, 4, 2]",4,1
3,5,3,2,134,0,"[3, 3, 2]",3,1
4,4,4,2,181,0,"[1, 3, 1, 3]",3,1
5,1,1,1,57,1,[3],3,0
6,3,3,1,119,0,"[3, 3, 3]",3,1
7,11,8,3,288,0,"[4, 4, 4, 4, 4, 2, 3, 4]",2,1
8,9,8,2,293,0,"[3, 3, 2, 3, 2, 3, 3, 3]",2,1
9,3,3,2,123,0,"[2, 1, 1]",2,1
10,5,5,2,227,0,"[2, 1, 2, 2, 2]",2,1
11,1,1,1,72,1,[1],1,0
12,7,7,3,351,0,"[4, 2, 3, 2, 2, 2, 2]",4,1
13,3,3,1,114,0,"[1, 1, 1]",1,0
14,1,1,1,43,1,[1],1,0
15,25,20,3,971,0,"[2, 2, 3, 1, 2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 3, 3]",3,1
16,1,1,1,28,1,[4],4,0
17,6,4,3,181,0,"[1, 3, 2, 2]",2,1
18,10,5,1,263,0,"[1, 1, 1, 1, 1]",1,0
19,4,3,2,129,0,"[3, 1, 3]",3,1
20,2,2,1,71,0,"[1, 1]",1,0
21,6,5,2,214,0,"[2, 2, 2, 3, 3]",3,1
22,4,3,1,138,0,"[1, 1, 1]",1,0
23,3,1,1,33,1,[4],4,0
24,6,5,3,199,0,"[2, 2, 4, 2, 3]",4,1
25,1,1,1,38,1,[2],2,0
26,2,2,1,100,0,"[1, 1]",1,0
27,5,5,3,234,0,"[3, 3, 2, 1, 3]",3,1
28,6,4,3,194,0,"[4, 3, 1, 1]",4,1
29,3,3,1,133,0,"[1, 1, 1]",1,0
30,11,10,3,404,0,"[1, 3, 1, 3, 2, 2, 1, 3, 3, 1]",1,0
31,12,9,3,393,0,"[3, 2, 3, 3, 1, 3, 2, 2, 2]",3,1
32,3,3,2,114,0,"[1, 4, 1]",4,1
33,21,16,3,680,0,"[4, 1, 4, 1, 1, 1, 4, 4, 4, 2, 4, 4, 4, 4, 1, 4]",4,1
34,2,1,1,57,1,[2],2,0
35,5,5,2,252,0,"[1, 1, 1, 1, 2]",1,0
36,2,2,1,66,0,"[4, 4]",4,1
37,7,5,3,252,0,"[2, 2, 2, 1, 4]",4,1
38,4,4,2,181,0,"[1, 1, 4, 4]",1,0
39,2,2,2,76,0,"[1, 3]",1,0
40,7,6,2,257,0,"[1, 1, 2, 1, 2, 1]",2,1
41,2,2,1,61,0,"[1, 1]",1,0
42,1,1,1,43,1,[1],1,0
43,23,20,1,1045,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,1
44,11,9,3,443,0,"[2, 2, 3, 3, 1, 2, 1, 2, 3]",3,1
45,3,3,1,131,0,"[1, 1, 1]",1,0
46,1,1,1,62,1,[1],1,0
47,5,4,2,195,0,"[2, 4, 2, 4]",4,1
48,3,3,2,114,0,"[1, 4, 4]",4,1
49,41,27,3,1218,0,"[1, 3, 2, 3, 3, 1, 3, 1, 1, 3, 3, 2, 3, 1, 1, 2, 1, 3, 3, 1, 3, 1, 1, 1, 3, 2, 1]",1,0
50,4,4,1,195,0,"[2, 2, 2, 2]",2,1
51,4,4,1,234,0,"[1, 1, 1, 1]",1,0
52,9,9,3,385,0,"[2, 1, 4, 2, 2, 2, 2, 4, 1]",4,1
53,3,2,1,71,0,"[1, 1]",1,0
54,3,3,1,119,0,"[4, 4, 4]",4,1
55,8,7,2,281,0,"[4, 3, 3, 4, 3, 4, 3]",3,1
56,9,7,4,277,0,"[1, 1, 4, 3, 1, 2, 2]",4,1
57,3,3,1,99,0,"[4, 4, 4]",4,1
58,6,4,2,176,0,"[1, 4, 1, 4]",1,0
59,2,1,1,55,1,[3],3,0
60,6,6,3,285,0,"[1, 3, 2, 2, 2, 1]",2,1
61,6,4,2,195,0,"[2, 2, 2, 1]",2,1
63,4,4,1,147,0,"[3, 3, 3, 3]",3,1
64,14,13,1,735,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,1
65,3,3,1,150,0,"[1, 1, 1]",1,0
66,2,2,2,76,0,"[1, 2]",1,0
67,21,17,3,798,0,"[1, 1, 1, 1, 2, 3, 1, 1, 2, 2, 3, 1, 2, 1, 3, 1, 1]",3,1
68,1,1,1,43,1,[1],1,0
69,12,11,3,530,0,"[2, 2, 3, 3, 3, 3, 1, 3, 3, 1, 3]",2,1
70,3,3,1,152,0,"[2, 2, 2]",2,1
71,1,1,1,33,1,[1],1,0
72,1,1,1,48,1,[3],3,0
73,1,1,1,38,1,[1],1,0
74,7,6,2,228,0,"[1, 4, 4, 1, 4, 1]",4,1
75,1,1,1,52,1,[2],2,0
76,15,10,3,405,0,"[4, 4, 1, 3, 4, 4, 1, 4, 4, 4]",4,1
77,6,4,1,185,0,"[2, 2, 2, 2]",2,1
78,1,1,1,33,1,[3],3,0
79,11,10,2,374,0,"[4, 4, 4, 1, 4, 4, 1, 4, 1, 1]",4,1
80,2,2,2,76,0,"[4, 3]",3,1
81,7,5,1,233,0,"[2, 2, 2, 2, 2]",2,1
82,10,7,4,319,0,"[1, 3, 3, 1, 2, 3, 4]",4,1
83,9,8,2,339,0,"[4, 4, 4, 3, 4, 4, 4, 3]",4,1
84,4,4,2,210,0,"[2, 3, 2, 2]",3,1
85,1,1,1,28,1,[3],3,0
86,14,10,3,370,0,"[3, 1, 2, 3, 1, 3, 2, 1, 2, 2]",2,1
87,4,4,2,176,0,"[1, 4, 1, 1]",4,1
